"ID";"DutchEconomy";"Periods";"CO2_1";"N2O_2";"CH4_3";"GreenhouseGasEquivalents_4";"NOx_5";"SO2_6";"NH3_7";"AcidificationEquivalents_8";"CFK12Equivalents_9";"CO_10";"NMVOC_11";"PM10_12"
"259";"307500 ";"2017JJ00";"   46670";"     5.2";"    15.9";"   49325";"    33.9";"    20.4";"     1.6";"     1.5";"     0.0";"   119.0";"    37.4";"     7.5"
"260";"307500 ";"2018JJ00";"   46149";"     4.7";"    15.4";"   48783";"    33.6";"    19.3";"     1.6";"     1.4";"     0.0";"   119.2";"    37.0";"     7.0"
"261";"307610 ";"1990JJ00";"    4606";"     0.0";"     0.7";"    4627";"    11.3";"     1.9";"     0.2";"     0.3";"   286.7";"    12.4";"     8.8";"     4.9"
"262";"307610 ";"1991JJ00";"    4679";"     0.0";"     0.7";"    4700";"     9.1";"     1.2";"     0.3";"     0.3";"   253.0";"    13.4";"     8.7";"     4.4"
"263";"307610 ";"1992JJ00";"    4970";"     0.0";"     0.8";"    4993";"    10.3";"     1.4";"     0.3";"     0.3";"   219.3";"    14.3";"     8.6";"     3.9"
"264";"307610 ";"1993JJ00";"    5119";"     0.0";"     0.8";"    5144";"    10.3";"     1.6";"     0.3";"     0.3";"   185.6";"    15.0";"     8.5";"     3.3"
"265";"307610 ";"1994JJ00";"    5029";"     0.0";"     0.8";"    5054";"     9.4";"     1.0";"     0.4";"     0.3";"   151.8";"    15.5";"     8.3";"     2.8"
"266";"307610 ";"1995JJ00";"    4674";"     0.0";"     0.8";"    4728";"     9.0";"     0.9";"     0.3";"     0.2";"   118.1";"    16.3";"     8.4";"     2.7"
"267";"307610 ";"1996JJ00";"    4966";"     0.0";"     0.9";"    5029";"     9.1";"     0.7";"     0.3";"     0.2";"    89.1";"    17.3";"     7.3";"     2.4"
"268";"307610 ";"1997JJ00";"    4807";"     0.0";"     0.9";"    4873";"     7.1";"     0.3";"     0.2";"     0.2";"    60.1";"    13.6";"     6.9";"     2.1"
"269";"307610 ";"1998JJ00";"    4878";"     0.0";"     0.9";"    4947";"     7.1";"     0.5";"     0.3";"     0.2";"    31.0";"    13.7";"     7.6";"     2.1"
"270";"307610 ";"1999JJ00";"    5173";"     0.0";"     1.0";"    5225";"     7.4";"     0.4";"     0.3";"     0.2";"     2.0";"    14.3";"     7.0";"     2.2"
"271";"307610 ";"2000JJ00";"    4956";"     0.0";"     1.0";"    5195";"     7.1";"     0.6";"     0.2";"     0.2";"     1.7";"    13.1";"     7.6";"     2.3"
"272";"307610 ";"2001JJ00";"    4764";"     0.0";"     1.0";"    5063";"     6.8";"     1.2";"     0.4";"     0.2";"     1.1";"    14.6";"     7.1";"     2.2"
"273";"307610 ";"2002JJ00";"    4887";"     0.0";"     1.0";"    5236";"     6.6";"     0.8";"     0.4";"     0.2";"     0.5";"    14.3";"     6.3";"     2.3"
"274";"307610 ";"2003JJ00";"    4712";"     0.0";"     1.0";"    5121";"     5.7";"     0.5";"     0.5";"     0.2";"     0.1";"    11.5";"     6.1";"     2.1"
"275";"307610 ";"2004JJ00";"    4614";"     0.0";"     0.9";"    5076";"     6.2";"     0.6";"     0.5";"     0.2";"     0.0";"    12.5";"     6.1";"     2.1"
"276";"307610 ";"2005JJ00";"    4509";"     0.0";"     0.9";"    5021";"     6.4";"     0.5";"     0.4";"     0.2";"     0.0";"    13.3";"     6.5";"     2.1"
"277";"307610 ";"2006JJ00";"    4302";"     0.0";"     0.9";"    4869";"     6.1";"     0.9";"     0.4";"     0.2";"     0.0";"    12.5";"     6.3";"     2.0"
"278";"307610 ";"2007JJ00";"    4342";"     0.0";"     0.9";"    4963";"     6.0";"     0.8";"     0.3";"     0.2";"     0.0";"     9.3";"     6.5";"     2.0"
"279";"307610 ";"2008JJ00";"    4175";"     0.0";"     0.8";"    4856";"     5.8";"     0.7";"     0.4";"     0.2";"     0.0";"    10.4";"     6.4";"     2.0"
"280";"307610 ";"2009JJ00";"    3795";"     0.0";"     0.8";"    4521";"     5.2";"     0.5";"     0.4";"     0.2";"     0.0";"    11.0";"     6.1";"     1.9"
